,region,value,CODE,
1,Alaska,8,AK,
2,Alabama,28,AL,
3,Arkansas,1,AR,
4,Arizona,12,AZ,
5,California,128,CA,
6,Colorado,60,CO,
7,Connecticut,2,CT,
8,Delaware,6,DE,
9,Florida,12,FL,
10,Georgia,5,GA,
11,Hawaii,8,HI,
12,Iowa,12,IA,
13,Idaho,6,ID,
14,Illinois,37,IL,
15,Indiana,15,IN,
16,Kansas,4,KS,
17,Kentucky,7,KY,
18,Louisiana,5,LA,
19,Maine,12,MA,
20,Maryland,17,MD,
21,Massachusetts,17,ME,
22,Michigan,30,MI,
23,Minnesota,27,MN,
24,Missouri,13,MO,
25,Mississippi,2,MS,
26,Montana,13,MT,
27,North Carolina,20,NC,
28,North Dakota,7,ND,
29,Nebraska,17,NE,
30,New Hampshire,6,NH,
31,New Jersey,19,NJ,
32,New Mexico,10,NM,
33,Nevada,8,NV,
34,New York,27,NY,
35,Ohio,22,OH,
36,Oklahoma,3,OK,
37,Oregon,36,OR,
38,Pennsylvania,53,PA,
39,Rhode Island,2,RI,
40,South Carolina,7,SC,
41,South Dakota,2,SD,
42,Tennessee,5,TN,
43,Texas,21,TX,
44,Utah,8,UT,
45,Virginia,8,VA,
46,Vermont,16,VT,
47,Washington,36,WA,
48,Wisconsin,82,WI,
49,West Virginia,14,WV,
50,Wyoming,6,WY,
,,,,
